Lema	POS	rARF_Janes	rARF_Gos	rARF_Kres	rARF_Šolar	rARF_Povprečno	
biti	g	5,01476	6,18166	4,95777	7,31787	5,86802	
in	v	1,22207	0,84364	1,86027	2,16501	1,52275	
se	z	1,15668	1,17209	1,13885	2,04662	1,37856	
v	d	1,20806	0,95806	1,56035	1,4394	1,29147	
ta	z	0,82406	1,83723	0,61854	0,9147	1,04863	
da	v	0,91016	1,10578	0,7355	1,18902	0,98512	
pa	v	0,94946	1,63704	0,51603	0,67546	0,94450	
na	d	0,9468	0,648	0,9314	0,76216	0,82209	
ne	l	0,76338	1,72368	0,37852	0,4196	0,82130	
on	z	0,55112	0,62002	0,70607	1,30957	0,79670	
z	d	0,60406	0,40241	0,85105	0,68266	0,63505	
za	d	0,73012	0,40425	0,69684	0,48206	0,57832	
jaz	z	0,56772	0,79079	0,19536	0,3345	0,47209	
ki	v	0,33496	0,2756	0,62062	0,5575	0,44717	
tudi	l	0,34917	0,43629	0,35297	0,45	0,39711	
imeti	g	0,41605	0,54297	0,21516	0,3932	0,39185	
ja	l	0,08674	1,193	0,00893	0,00326	0,32298	
še	l	0,38047	0,39612	0,24815	0,23352	0,31457	
tako	r	0,17874	0,49767	0,18284	0,23315	0,27310	
kot	v	0,26005	0,17347	0,27363	0,28127	0,24711	
ves	z	0,28037	0,17841	0,2109	0,30632	0,24400	
po	d	0,24228	0,17434	0,28667	0,25592	0,23980	
če	v	0,30767	0,31935	0,15375	0,17808	0,23971	
ko	v	0,18553	0,21694	0,16875	0,3441	0,22883	
lahko	r	0,21526	0,21907	0,20293	0,24177	0,21976	
že	l	0,24045	0,24685	0,15374	0,13279	0,19346	
ti	z	0,26636	0,32081	0,08679	0,08301	0,18924	
ali	v	0,17887	0,24191	0,21004	0,12344	0,18857	
svoj	z	0,115	0,05586	0,17534	0,35068	0,17422	
ker	v	0,15329	0,25837	0,07743	0,20675	0,17396	
od	d	0,184	0,13175	0,19806	0,1694	0,17080	
vedeti	g	0,14887	0,3754	0,05728	0,08529	0,16671	
saj	v	0,09965	0,18228	0,07524	0,28952	0,16167	
kaj	z	0,22171	0,24511	0,06231	0,09969	0,15721	
iz	d	0,15334	0,09371	0,20762	0,16602	0,15517	
en	k	0,16025	0,29099	0,08956	0,07556	0,15409	
pri	d	0,15613	0,11897	0,18646	0,15174	0,15333	
do	d	0,12941	0,10397	0,16754	0,20682	0,15194	
drug	k	0,12535	0,12178	0,17077	0,18356	0,15037	
iti	g	0,16813	0,25595	0,07398	0,09642	0,14862	
o	d	0,15816	0,08857	0,1696	0,15993	0,14407	
samo	l	0,18405	0,22197	0,06376	0,08535	0,13878	
a	v	0,07129	0,29331	0,06413	0,09747	0,13155	
reči	g	0,08084	0,30357	0,04503	0,0592	0,12216	
morati	g	0,11211	0,12284	0,10349	0,13864	0,11927	
zdaj	r	0,07862	0,33291	0,0404	0,02246	0,11860	
kako	r	0,11946	0,16611	0,06902	0,09224	0,11171	
leto	s	0,12283	0,08141	0,15402	0,08486	0,11078	
zelo	r	0,05961	0,08064	0,06527	0,23192	0,10936	
človek	s	0,08598	0,05682	0,07373	0,20152	0,10451	
kar	r	0,09453	0,18702	0,07134	0,05304	0,10148	
kateri	z	0,07305	0,07173	0,12898	0,1211	0,09872	
ampak	v	0,09936	0,18954	0,03248	0,0707	0,09802	
tisti	z	0,08231	0,16795	0,07005	0,06787	0,09705	
dober	p	0,13356	0,08412	0,06593	0,10036	0,09599	
priti	g	0,07597	0,12943	0,05387	0,11931	0,09465	
misliti	g	0,07462	0,18518	0,02777	0,09039	0,09449	
čas	s	0,084	0,05489	0,09287	0,1371	0,09222	
med	d	0,06858	0,0363	0,12454	0,12399	0,08835	
videti	g	0,08893	0,11529	0,04731	0,10141	0,08824	
potem	r	0,11076	0,15256	0,04532	0,0403	0,08724	
dan	s	0,10205	0,06128	0,08557	0,09581	0,08618	
nekaj	r	0,06676	0,12885	0,07581	0,07279	0,08605	
kaj	r	0,03236	0,25953	0,03438	0,01052	0,08420	
velik	p	0,06929	0,05711	0,10518	0,09495	0,08163	
sam	p	0,0565	0,0667	0,06691	0,12731	0,07936	
dati	g	0,09369	0,13736	0,03372	0,05261	0,07935	
no	l	0,05986	0,24143	0,01009	0,00498	0,07909	
res	r	0,11708	0,11829	0,03222	0,0379	0,07637	
bolj	r	0,07834	0,07967	0,05815	0,08424	0,07510	
dobro	r	0,06071	0,12507	0,05031	0,06246	0,07464	
